statement,actual_verdict,model_verdict
"""I’ve released 22 years of my tax returns. You can go online and look. (Donald Trump) hasn’t released one.""",True,True
The U.S. ranks 37th in the world for health care.,True,True
"""I stopped requesting earmarks in 2008.""",True,True
"""California is growing a hell of a lot faster than Texas.""",True,False
Preventive care does not save the government money.,True,True
"Says Dr. Anthony Fauci in an email ""advises a family member to use (hydroxychloroquine) and antibiotic therapy, the same evening in which in a press conference he attacked (President Donald Trump) on the usefulness of (hydroxychloroquine) to fight the virus.""",False,False
"Says the U.S. election system is ""rigged.""",False,True
"""Trey Radel does not even qualify to drive a Lee County school bus at this point, yet he occupies a seat in Congress.""",True,True
"Under energy efficiency legislation sponsored by U.S. Sen. Jeanne Shaheen, ""federal bureaucrats could take over the local building code enforcement in your city if so-called ‘green mandates’ are not complied with quickly enough.""",False,False
"""There's never been a (U.S. Supreme Court) vacancy in the last, I think, 30 years, lasting longer than 237 days.""",True,True
"""The average age a child is trafficked into the commercial sex trade industry is between 11 and 14 years old.""",True,False
The health care reform bill -- on Page 16 -- outlaws private insurance.,False,False
"""Italian Parliament Calls For The Arrest of Bill Gates""",False,False
"Says Rep. Kyrsten Sinema supported a bill that is ""essentially encouraging child trafficking.""",False,True
"China is or soon will be ""the largest English-speaking nation"" in the world.",True,False
Says Mitt Romney has changed his position on supporting the TARP program.,False,False
"It’s legal to ""sign a recall petition (against Gov. Scott Walker) even if you have already signed another recall petition,"" but only one signature counts",True,True
"""We closed that plant down. It was a $27 million-dollar plant, operating full steam, and we closed it down.""",True,True
"""Religious groups like Knights of Columbus have been forced to allow same-sex marriage ceremonies in their facilities, against their beliefs.""",False,False
"Says Republican candidates in Oregon are ""advocating violence"" against gays.",False,False
"A facial recognition firm ""confirmed antifa infiltrated the Trump rally in D.C.""",False,False
"""The Canadian government threatens to fire any government employee who uses ‘Let's Go Brandon’ in communications.""",False,False
"Says Bernie Sanders opposes ""requiring all children to have a K-12 education.""",False,True
"House Republicans who complained they didn't have enough time to consider a constitutional ban against oil drilling ""shoved through a proposal in just a few days to open state waters to oil drilling.""",True,True
A bike a boy chained to a tree in Washington state in 1914 is now a fallen soldier memorial.,False,False
"A space shuttle the National Museum of the United States Air Force near Dayton would be ""within a day's drive of 60 percent of the U.S. population.""",True,True
"""Wisconsin does not have a deficit. Thanks to Republican reforms, the 2014 budget will begin with a $443 million surplus.""",True,True
"Despite President Barack Obama's promise to cut healthcare costs, ""the average cost of a family policy is up $1,300.""",True,True
"""Jason Aldean gig canceled after he sells out to liberals on ‘SNL’.""",False,False
"""We have record bankruptcies in farming country.""",False,False
"$50,000. That's what every child owes today because Washington politicians have run up a huge spending tab and left our kids the bill.""",True,True
"""Want a healthy, happy baby? Skip the Well Baby visits. They… make your baby sick.""",False,False
Says a photo shows Bill Clinton and Christine Blasey Ford posing for a camera and smiling together.,False,False
"""Fox admits they lie"" and, under the First Amendment, ""have the right to lie or deliberately distort news reports on public airwaves.""",False,False
Says wearing face masks is more harmful to your health than going without one.,False,False
"Says Gov. Ron DeSantis ""just signed legislation requiring students, faculty and staff at Florida’s public universities and colleges to register their political views with the state.""",False,False
"Says Milwaukee County Executive Chris Abele is a ""billionaire.""",False,False
Says the claim that 40 percent of guns are sold without background checks traces to information gathered before background checks were even required.,True,True
"People who are vaccinated for the coronavirus ""cannot spread it to you.""",True,False
"""Mass shootings went up 200 percent in the decade after the assault weapons ban expired.""",False,True
Masks have negative impacts on 68% of children.,False,False
"When it comes to transportation funds, Georgians spend more in taxes and on red tape than they get back from the federal government.",True,False
"Says President Donald Trump ""signs a visa-free travel policy"" for Ghana and Malawi.",False,False
Says Nick Kahl made it harder for many families to cover basic health care expenses.,False,True
"""The President wants to cut 3 MILLION people from SNAP, including children, seniors and veterans.""",True,True
"Says Haley Stevens’ plan for ""socialized medicine"" would ""eliminate 100,000 doctors and nurses.""",False,False
"""Again today (Ahmadinejad) made light of 9/11, and said that he's not even sure it happened and that people actually died.""",True,True
"""Even if you took literally every single ounce of platinum in the world, it still wouldn’t add up to enough needed to pay down our nation’s debt.""",True,True
"""If you are a federally licensed gun dealer and your license is revoked because you've engaged in misconduct ... your entire inventory under prevailing law is deemed your personal collection. You then can sell it free from any background checks.""",True,False
"""Most young Americans right now, they’re not covered"" by health insurance.",False,True
"An account of attacks in Benghazi written by former White House press secretary Dee Dee Myers shows that the body of U.S. Ambassador to Libya Christopher Stevens was ""dragged through the streets"" and abused.",False,False
"""Roy Cooper won't say how he will pay for ‘free’ college tuition.""",True,True
Says she was the first in her family to go to a four-year college.,False,True
"""Since passage of the Tax Cuts and Jobs Act, Walmart 'increased their starting wage to $11/hr & has given about $400 million in bonuses.'""",True,True
"""The Russian army captured the U.S Major General Roger L. Cloutier Jr. … in the besieged Ukrainian Azov camp in Mariupol.""",False,False
"""There is no evidence that poor people abuse drugs more frequently than any other socio-economic group.""",False,True
"""Portland Schools spend $500K to deem PB&J sandwiches racist.""",False,False
"""The city of Houston now has more debt per capita than California.""",True,True
"Says Obama has ""doubled the stock market from where we started when he was sworn into office""",False,True
"Says Chris Koster ""opposes right-to-work efforts because he has taken $8 million from ‘union bosses.’""",True,True
"Says Alex Sink supported ""more taxes on water and TV.""",True,True
"""More than half of our unemployed Ohioans have been out of work for six months or more.""",True,True
"""Every major study that has been done by a legitimate group ... shows that there are hundreds of thousands of jobs to be created if you pass our (cap-and-trade) legislation. And if you wind up pricing carbon.""",False,False
"""McDonald’s hamburgers are only 15 percent ‘real beef.’ The other 85 percent is meat filler cleansed with ammonia, which causes stomach and intestinal cancer.""",False,False
"""Congresswoman Ros-Lehtinen has long record of voting against VA backlog fixes.""",False,True
Says Texas ranks among the nation’s top five states for its high school graduation rate.,True,True
"""Trump approval rating better than Obama and Reagan at same point in their presidencies.""",True,False
"The Biden administration ""gifted the Taliban with $80 billion-plus"" in military-grade weapons but now ""wants your 9mm pistols.""",False,False
"Says when armed civilians stop mass shootings with guns, an average of 2.5 people die; otherwise, an average of 18 people die.",False,False
"""A lot of the problems with forest fires ... is because of bad policy (not to clear out the forests) that was put in place by environmentalists.""",False,True
"A member of the redistricting commission proposed in Issue 2 ""could accept a bribe from somebody"" and ""couldn’t be removed from this commission.""",False,True
"""29 mass shootings have been committed by concealed carriers since 2007, while during this period only one (1) licensed civilian meaningfully intervened in a mass shooting.""",True,False
"""Given the results of the primary, the vote of one New Hampshire superdelegate is equal to the votes of about 10,000 grassroots activists.""",True,True
"Says Kamala Harris said there will be ""a federal tax on your home for reparations.""",False,False
"""Myanmar used Dominion Voting Systems.""",False,False
"""There have been 44 plans submitted affecting 90 school districts. And the Scott administration has rejected all of them.""",False,True
"The Republican Party has ""21 percent party ID and shrinking.""",True,False
A retired U.S. Army sergeant faces life in prison for killing two Syrian refugees after discovering they raped his teenage daughter.,False,False
"The Republicans ""still want to privatize (Social Security). In fact, their whole idea is to turn over the Social Security trust fund to Wall Street.""",False,True
"""What I have put forward does not add a penny to the debt.""",True,True
"""Roadside bombs are responsible for 70 percent of casualties in Iraq and these new mine-resistant vehicles can reduce those casualties by two-thirds.""",True,True
"""Welcome to #Houston, the most #diverse city in #America.""",True,False
"Says GOP primary opponents Glenn Grothman and Joe Leibham cast a ""compromise vote that cost $788 million"" in higher electricity costs.",True,True
"""Suez Canal blocked by huge container ship named Evergreen. Evergreen shipping is most likely a cover for human and sex trafficking"" by Hillary Clinton.",False,False
"The poverty rate in West Virginia ""was 19.1 percent, the fourth-highest in the country.""",True,True
"Says ""for the first time ever,"" Texas lawmakers are not funding student population growth.",True,False
"The House Zika bill ""limits access to birth control services needed to help curb the spread of the virus"" in Puerto Rico.",True,True
You must list all your guns on your 2010 tax return.,False,False
"Between 27,000 and 200,000 Wisconsinites were ""turned away"" from the polls in 2016 due to lack of proper identification.",False,False
"""Manufacturing is having its best employment year in almost 15 years.""",True,True
"""Under the Tax Cuts and Jobs Act, the average American family of four will receive a $1,182 tax cut.""",True,True
"""The national economy was strong in its largest expansion of private sector jobs before President Trump came into office.""",True,True
"Sherrod Brown ""gave huge bonuses to executives.""",False,False
"""At nearly 19 million people, the population of Florida is larger than all the earlier primary and caucus states combined.""",True,True
"""We spend more money on antacids than we do on politics.""",False,False
"A photo shows two men on the run who pretend to be homeless and then ""attack and rob you.""",False,False
"A cap-and-trade plan promoted by Barack Obama would hit hardest ""those already struggling to make ends meet.""",True,True
Photo shows Joe Biden asleep at his desk.,False,True
"The United States had ""allies lined up"" for air strikes in Syria and then Obama ""pulled the rug out.""",True,True
"In Chicago, which has the toughest gun laws in the United States, probably you could say by far, they have more gun violence than any other city.",False,False
"List shows ""1,000 peer reviewed studies questioning COVID-19 vaccine safety""",False,False
"Says he ""opposed $716 billion cut to Medicare.""",True,True
Says the Trump administration transferred $10 million from FEMA to ICE.,True,True
"The Free Flow of Information Act of 2009 ""would guarantee Barack Obama will never be held accountable for producing forged birth documents.""",False,False
"The property appraiser's budget ""is $1 million less today than when I took office 16 years ago.""",True,True
"""Lake Erie supports nearly 10 percent of Ohio's jobs and generates $750 million in state and local taxes.""",True,True
"""Germany: 96% of Latest Omicron Patients were FULLY Vaccinated – Only 4% Unvaccinated""",False,True
"Says Donald Trump is breaking a campaign pledge to bring manufacturing jobs back to Wisconsin and Pennsylvania since the two states ""have lost the most manufacturing jobs in the past year.""",False,False
"""When he (Donald Trump) asked Florida to have casino gambling, we said no.""",True,True
"Says 44 senators ""voted NOT to send stimulus checks.""",False,False
A video shows Joe Biden lost and confused on stage.,False,True
"Under the House health care bill, Medicaid spending ""actually goes up 20 percent over the next 10 years.""",True,False
"Say that according to the Los Angeles Times, ""95% of warrants for murder in Los Angeles are for illegal aliens,"" more than two-thirds of all births in Los Angeles County ""are to illegal alien Mexicans"" on Medicaid, ""nearly 60% of all occupants of HUD properties are illegal,"" and Nancy Pelosi ""wants to put a windfall tax"" on retirement fund profits.",False,False
Herd immunity is probably why California has far fewer COVID-19 deaths than New York.,False,False
"""Closing the tobacco loophole would save Missouri taxpayers $50,000,000""",True,True
A video shows the Russian warship Moskva exploding.,False,False
"The House of Delegates budget bill ""cuts $50 million from education.""",True,True
"""A study by the National Economics Research Association showed that the (Paris climate) deal could cost 2.7 million lost jobs in the U.S. by 2025 should our country adhere to the commitments made by the Obama Administration.""",False,True
"""Pete Buttigieg claims Bible says babies can be aborted ‘up to their first breath.’""",False,False
"In the ""do-nothing Senate,"" there are 352 House bills ""sitting on Harry Reid’s desk awaiting action,"" including 55 introduced by Democrats.",True,True
"Under Barack Obama, the U.S. now has the ""lowest workforce since (President Jimmy) Carter.""",False,True
"""Under President Obama, U.S. security funding for Israel is at an all-time high.""",True,True
Omicron 'hysteria' was timed so that it would coincide with and distract from the Ghislaine Maxwell trial.,False,False
Says U.S. Senate candidate Eric Hovde has ‘no problem with raising taxes.’,False,True
"In 2013, the United States ""accepted 67 percent of the world’s refugees.""",False,False
"""Unemployment now pays $24/hour, even if your wages were lower. Why don’t ‘essential’ people forced to still work get $24, too?""",True,False
"""We have a host of issues associated with high B.M.I.s. But correlation doesn’t prove causation, and there’s a significant body of research showing that weight stigma and weight cycling can explain most if not all of the associations we see between higher weights and poor health outcomes.""",False,True
"Says President Barack Obama’s recent New York fundraising trip ""cost between $25 million and $50 million.""",False,True
"Says Jon Huntsman supports changes in Medicare that would deny guaranteed benefits to 980,000 New Hampshire residents.",True,False
Video shows man diving off a high bridge and into a swimming pool on a moving boat.,False,False
"The 5-4 decisions the Supreme Court reaches ""are going up.""",False,False
"""Minnesota has passed and Indiana has passed"" right to work laws making union membership and dues optional",True,True
"After Ronald Reagan cut taxes in 1981 the U.S. enjoyed ""exponential growth.""",False,False
"The Dow Jones Industrial Average ""jumped 1000 points in last 5 weeks, Record fastest 1000 point move in history.""",True,True
"""Cuomo opens New York 72 hours before his daughter's wedding.""",False,False
"Says a car driving former University of Missouri System President Tim Wolfe ""ran through the students, hit one of them"" at the MU Homecoming Parade.",False,True
"""Six states can't get the votes counted. Six states in which @realDonaldTrump is leading. Six states where Dems are in charge.""",False,False
"Retired U.S. presidents and members of Congress collect full salaries ""for life.""",False,False
"""America has more governors who’ve worn blackface than black governors.""",True,True
"""Of all the jobs President Obama claims to have created since he started, only 38.5 percent are women. So 61.5 percent have gone to men.""",True,False
"Says she ""voted for a statewide fracking ban.""",True,False
"""President-elect Biden steps down as president-elect.""",False,False
"Michigan election bills are ""designed to make it easier for people to vote.""",False,False
"""A $250 fine if you're caught with a plastic bag coming out of a store. Plastic bag police anyone?""",False,False
"Four years after Gov. Andrew Cuomo promised universal pre-K, ""79 percent of 4-year olds outside New York City lack full-day pre-K.""",True,True
"""DEVELOPING: Kamala’s sister takes hydroxychloroquine.""",True,False
"""By 2006, the American people were overwhelmingly against the Iraq War.""",True,True
"""We did not even have a federal income tax in this country until 1913.""",True,True
"""Virginia women are paid 80 cents for every dollar paid to Virginia men.""",True,True
"""Usually it's about $900 a month to get health coverage. (Florida's program has) reduced that, on average, to about $150 a month.""",False,True
"ICE is in Uvalde, Texas, ""so undocumented parents have to consider arrest deportation before they go check to see if their kids are alive.""",False,False
Says Republican lawmakers delayed COVID-19 testing,False,True
"""There is no added safety to the public if you're vaccinated.""",False,False
"""Coronavirus — 22. Clintons — 39.""",False,False
"The Obama administration is allowing state waivers from welfare work requirements ""only if they had a credible plan to increase employment by 20 percent.""",True,True
"""Poll Finds 38% of Americans Say They Will Not Drink Corona Beer Because of Virus.""",False,False
"""The DNC omitted ‘one nation under God’ from the Pledge of Allegiance.""",False,False
"The result of lockdowns ""has been the destruction of millions of lives across America as well as increased deaths from suicide, substance abuse and despair without any corresponding benefit in Covid mortality.""",False,False
"""D.A.R.E. removed cannabis from its list of gateway drugs.""",False,False
"Wisconsin’s Government Accountability Board ""ignored their duties and did not regularly audit"" voters to remove felons ""for a span of 16 elections.",True,True
"Thirty-eight states -- Georgia not included -- have appointed, rather than elected, state school superintendents.",True,False
"The push for high-speed internet for rural areas, from the start, ""was a Democratic thing.""",True,False
"40 percent of U.S. gun sales ""are occurring outside of"" licensed gun dealers.",True,True
"Says Ted Strickland supported giving $150 billion to Iranian regime that persecutes women, Christians and gays.",False,True
"""The EPA has tried to define a puddle or a drainage ditch on your farm to be navigable waters and thus subject to massive environmental regulations.""",False,True
"""President Trump has the strongest support percentage-wise in our state than any other state in the nation. He won West Virginia by almost 43 percentage points and he's been carrying close to 60 percent approval.""",True,False
"Says Anthropology is a STEM (science, technology, engineering, math) field.",True,False
"""I’ve been in and out of Iraq and Afghanistan over 40 times.""",False,False
"""The average rate of fraud"" in the Earned Income Tax Credit, Medicare, Medicaid and food stamps programs ""is 20 to 25 percent.""",False,True
"Video shows Biden saying ""salute the Marines"" after hearing the words in an earpiece before his inauguration.",False,False
"""Texas women make an average of $8,355 less per year than men doing the very same job.""",False,False
"In 2006, Arizona had four ballot issues that were ""very tough on illegal immigration... Forty-seven percent of the Hispanics in Arizona voted for them.""",False,True
"Says that Wall Street hedge fund managers ""pay a lower tax rate than does a sheet metal worker in Parma or a school teacher in Cleveland.""",True,True
"""You can be an NFL player with murder charges and not be suspended.""",True,True
"""Barack Obama has consistently voted against tougher penalties for criminals.""",False,True
"Alex Sink was ""the first official who said that BP should pay $25 million for an ad campaign to promote Florida tourism.""",False,False
"Says U.S. Rep. Tammy Baldwin, a candidate for Senate, supports raising taxes ""by $858 billion.""",False,True
"""We have over 100,000 children, which we’ve never had before, in serious condition, and many on ventilators"" due to the coronavirus.",False,False
"""No governor in Virginia has ever won when...he or she is the same party as the sitting president.""",False,False
"On Gov. Tony ""Evers’ watch…the efficiency of the state crime lab has plummeted.""",False,False
"""WHO now says your child’s presence in school counts as ‘informed consent’ for vaccination - parental presence not required.""",False,False
"Says Ted Cruz’s wife Heidi ""will be the very first pro-life first lady.""",True,False
"Says Donald Trump ""spent the least amount of money of any of the competitive primary contenders that he beat so badly.""",True,True
Members of the US Women’s National Soccer team turned their backs on the flag as a 98-year-old World War II veteran played the anthem.,False,False
"""Muslims’ disturbing plan comes out after grocery stores go bare to prepare for Irma.""",False,False
John Kitzhaber is the only pro-choice candidate in the race for governor.,False,False
"""Moderna chief medical officer admits: mRNA alters DNA.""",False,False
"""There hasn’t been a Republican in the legislature or the City Council in Providence in over 30 years.""",False,False
"""Kamala Harris wants the riots to continue and not let up, not now not even after the election.""",False,False
High-speed rail would have cost Florida taxpayers $1 billion to build.,False,True
Says city of Portland has a one-time $22 million surplus,True,True
"Charcoal activated tablets ""will counteract most date rape drugs.""",False,False
"""Factories are opening their doors at the fastest pace in almost two decades.""",True,True
"""Mayor Andrew Gillum says he’s indefinitely suspending his campaign for governor in light of a fatal shooting in Tallahassee at a yoga studio on Friday.""",False,True
"""In Rhode Island, a recent study showed that among a group of people who had been homeless for a year or more, Medicaid costs averaged about $60,000 per person.""",False,True
"A new bill ""was written into the new health care reform initiative ensuring that Congress will be 100 percent exempt.""",False,False
"Half of illegal immigrants ""come on legal visas and then overstay.""",True,True
"Sen. Jim Webb ""persists on negating"" Sen. Mark Warner’s votes",False,True
"Donald Trump’s decision to skip the Fox News/Google debate in Des Moines ""is near unprecedented.""",True,True
"""NASA announced that it communicated with four races of aliens.""",False,False
"Ketanji Brown Jackson has ""a weak record — defund police, abolish ICE and now a completely open border policy.""",False,False
Says Joe Biden owns a private island next to Jeffrey Epstein’s.,False,False
"""40 years of research, and no vaccine for HIV. At least 100 years of research and no vaccine for cancer. Ongoing research and no vaccine for the common cold. Now in less than a year, there's a vaccine for COVID-19?""",False,True
"""In Joe Biden’s America, your children are more likely to have access to a crack pipe than a mask-free education.""",False,False
"Rhode Island is ""almost dead last"" among Northeastern states in the length of time first-degree murderers must spend in prison before they’re eligible for parole.",True,True
"""(George) Soros Provides Migrants With Prepaid Debit Cards To Fund Illegal Journeys""",False,False
"""When the Affordable Care Act was signed, 17 million American children"" had a pre-existing condition and were ""uninsurable.""",False,True
"""Facebook said that if you support the NRA you will get kicked off.""",False,False
"Says Tennessee’s higher education funding model ""is 100 percent outcomes-based"" and ""we are already seeing this model changing the way our postsecondary institutions do business.""",True,False
"Say ""Dunkin' Donuts is providing a free Ḍozen Doughnut Box to everyone! to celebrate 68th Anniversary!""",False,False
"Some Republicans who voted against the stimulus ""have been all too happy to claim credit for Recovery Act projects and the jobs those projects have produced. They come to the ribbon cuttings.""",True,True
"Says state Sen. Sheila Harsdorf wants to ""eliminate Medicare"" as we know it.",False,False
"In Rhode Island ""there are 150 different pension plans for public workers.""",True,True
"In Wisconsin, teachers make $89,000 in salary and benefits, compared to $48,000 for all other workers in the United States.",False,False
"A 1993 example of voter fraud in Philadelphia is ""exactly what happened to us"" in the 2020 election.",False,False
"John Cornyn ""voted twice in 2013 to back Obama’s amnesty plan.""",False,True
Says Obama Foundation posted picture of George Floyd before he died.,False,False
"""75 percent of the jobs created in the state of Ohio are created in small business. They are not created by huge corporations and those who are very wealthy.""",True,True
"""Gun violence is by far the leading cause of death for young African American men, outstripping the next nine causes of death combined.""",True,True
"Says Joe Biden ""will destroy your protections for pre-existing conditions.""",False,False
"Texas is ""the state that has now gone the longest without electing a Democrat statewide.""",True,True
"""I didn't campaign on a public option.""",False,False
"Says Rep. Ilhan Omar, D-Minn., was ""speaking about how wonderful al-Qaida is.""",False,False
"""You know what’s in this bill? No medical malpractice suits until 2024, even if they’re not COVID related.""",False,False
A video shows a nurse pretending to vaccinate actor Anthony Hopkins before squirting fluid in the syringe on the floor.,False,False
"Rick Santorum ""reformed welfare.""",True,True
"""Democrats very much are in the pocket of the NRA.""",False,False
There were more job losses per month in the last three months under President Bush than in the past three months under President Obama.,True,True
"The Providence teacher contract ""is one of the longest in the country.""",False,True
"""Under the Obama plan . . . all the health care in this country is eventually going to be run by the government.""",False,False
"In England, ""official data shows children are up to 52 times more likely to die following COVID-19 vaccination than unvaccinated children.""",False,False
"Says Brendan Kelly ""allowed half of the criminals he faced to walk free"" and ""failed to protect women who were violently assaulted,"" allowing ""those guilty of sexual assault to cut inexcusable plea deals.""",False,True
About 3 percent of Gov. Nathan Deal’s appointments have been African-American.,True,False
"""We’ve got a police station that’s under construction right now, they are actually ahead of schedule and under budget.""",False,False
"""Among the developed nations, we are the least economically and socially mobile country in the world.""",True,True
"Transmission of COVID-19 by asymptomatic individuals ""has never been proven.""",False,False
"""Florida spends more than $300 million a year just on children repeating pre-K through 3rd grade.""",True,True
"There was ""serious voter fraud"" in Virginia.",False,False
"Says the Republican Party platform says ""pull back even more of the rules on campaign finance reform, get rid of McCain-Feingold"" while the Democratic Party platform says ""we want to find a way to put more fair rules on campaign finance reform.""",True,True
"America’s federal business tax rate is the highest ""in the world.""",True,True
A flight crew took a knee and stranded the New Orleans Saints on an airport runway.,False,False
"""Barack Obama will somehow manage to add more than $8 trillion to the national debt, which is more debt than the 43 presidents who held office before him compiled together.""",True,True
"""Virtually no Republican"" in Washington accepts climate change science.",True,True
"Quotes Robert Mueller as saying, ""We must move as quickly as possible to a one-world government; a one-world religion; under a one world leader.""",False,False
"Metro Atlantans spend ""over an hour every day"" or ""five hours a week"" commuting, for a total of ""260 hours a year.""",True,True
"""More than 200,000 DACA recipients are essential infrastructure workers"" including ""41,700 DACA recipients in the healthcare industry""",True,True
"""We've heard talk about curbing our use of fossil fuels in nearly every State of the Union address since the oil embargo of 1973.""",True,True
"Says his budget ""calls for one of the largest increases in national defense spending in American history.""",False,False
"""The total (state) payroll has gone down. The total amount of the number of workers in the state has gone down. I like the fact that the bulk of that is just by retirements.""",True,True
"The Manchin-Toomey amendment ""would have criminalized certain private transfers of firearms between honest citizens, requiring lifelong friends, neighbors and some family members"" to get government approval.",False,True
"Democrats and Joe Biden ""want to abolish the suburbs altogether by ending single-family home zoning.""",False,False
Georgia’s unemployment rate has exceeded the national rate for 50 consecutive months.,True,False
"The film and TV industry supports more than 24,000 direct jobs and pays local workers more than $1.68 billion in wages in Georgia.",True,False
"The Pfizer COVID-19 vaccine is ""99% graphene oxide,"" which is ""toxic to the human body and causes a number of problems.",False,False
"Says that several times in the last 15 years, Austin City Council candidates have won seats after trailing by more than 4,000 votes in the election prompting the runoff.",True,False
"""Sen. Obama has never taken on his party leaders on a single major issue.""",True,False
"""If you take into account all the people who are struggling for work, or have just stopped looking, the real unemployment rate is over 15 percent.""",True,True
"Says Marjorie Taylor Greene said ""246 years ago Jesus Christ performed his miracle of making a single days worth of bullets last 8 days.""",False,False
"""More preschoolers are shot dead each year than police officers are in the line of duty.""",True,True
"Says that each year, about 25,000 American women become pregnant through rape or incest.",True,True
"Water rates in Manila, Philippines, ""were raised up to 845 percent"" when a subsidiary of the World Bank became a partial owner.",True,True
"Quotes Andy Borowitz as saying ""stopping Hillary is a short-term solution. The long-term solution — and it will be more difficult — is fixing the educational system that has created so many people ignorant enough to vote for Hillary.""",False,False
Says Mitt Romney's comments indicated he would not have pursued Osama bin Laden.,True,True
"""We have killed lots of innocent people in the state of Texas.""",False,True
"A data-storing microchip ""would be implanted in the majority of people who opt to become covered by the public health care option.""",False,True
Says opponent Tammy Baldwin ‘has had not one positive ad’ in the campaign for U.S. Senate.,True,False
"""The annual Pentagon budget hovers over $750 billion annually, twice that of the much debated Build Back Better Act that costs about $350 billion annually as currently proposed.""",True,True
"Says Tammy Baldwin’s ""Medicare for All"" plan means senior citizens would ""no longer have"" Medicare.",False,False
The InterLink at T.F. Green Airport is the closest air-rail link in the country.,False,False
"""Six of Georgia’s counties have no lawyers at all.""",True,True
"""Sanctuary cities are extremely dangerous.""",False,False
"The president's health care proposals will cause ""most Americans to have their premiums increased, not decreased, and hundreds of millions of people lose their current insurance coverage.""",False,True
"After Arizona banned smoking in ""all public places"" in 2007, ""admissions for acute myocardial infarction … stroke, asthma, [and] angina decreased following the implementation of the ban.""",True,True
Says most Texas schools spend 45 out of 180 school days in mandated testing.,False,False
"""Pregnant women who stand for five to six hours at a time increase their risk of pre-term pregnancy by 80 percent.""",False,True
Says Maggie Hassan is the only female governor in the country.,False,False
We’ve reduced crime to its lowest level in 27 years.,True,False
"""Gas prices have never been higher, and Exxon Mobil's profits have never been higher.""",False,True
"""The person that shot Ashli Babbitt — boom — right through the head — just boom — there was no reason for that.""",False,False
"""Ronald Reagan’s signature on the 1986 amnesty act"" gave Barack Obama about 15 million additional Hispanic votes in 2012.",False,False
Says Donald Trump is for a single-payer health care system.,True,False
"""On average, each U.S. military working dog saves the lives of between 150 and 200 servicemen and women over the span of his career.""",False,False
"Quotes Kurt Cobain saying in 1993 that he wouldn’t be surprised if his generation eventually elected a ""true outsider"" a ""business tycoon who can’t be bought"" … ""someone like Donald Trump""",False,False
"""13 percent of Americans, the lowest ever, are without health care.""",True,False
"Says LeBron James ""stops paying his Social Security taxes at the beginning of the second quarter of the first game of the season.""",True,True
"The Koch Brothers are ""spending more money than either the Democratic or Republican parties"" in the 2016 elections.",False,True
"Crimea ""was sort of taken away from President Obama. … And he wanted Russia to be out of what was called the G-8. And that was his determination.""",False,False
The city of Atlanta has either the highest or second-highest average water bills in the country.,True,True
"In the United Kingdom, ""70-plus percent of the people who die now from COVID are fully vaccinated.""",False,False
"Says an array of statistics show that conditions in some parts of Baltimore rival that of ""the West Bank in Palestine,"" ""North Korea,"" and ""distressed cities in Nigeria, India, China and South Africa.""",True,True
"Says the New York Times reported that Hillary Clinton and George Soros ""paid (a) woman to accuse Trump of sexual attack.""",False,False
The murder rate in Atlanta is on the rise this year.,True,True
"Says Chuck Schumer said ""it’s racist to only allow citizens to vote.""",False,False
"The ""average taxpayer will see the equivalent of a 2 percent pay raise as a result of low fuel prices.""",True,True
"A photo shows ex-Minneapolis police officer Derek Chauvin wearing a ""Make Whites Great Again Hat.""",False,False
"In the plot to kidnap Michigan Gov. Gretchen Whitmer, ""the perps were ANTIFA and BLM anarchists.""",False,False
"A proposed amendment ""allows a teenager to get a recommendation for medical marijuana without the consent of a parent.""",True,True
"By the end of his first term, President Obama will have added as much debt as all the prior 43 presidents combined.",True,True
"""If you actually took the number of Muslims [sic] Americans, we'd be one of the largest Muslim countries in the world.""",False,False
"""The Tax Foundation figures Rhode Island as the 10th highest state for state and local tax burden per capita in the country. We're the 6th worst in the country for the business tax index. We're the 3rd highest per capita in the country for all taxes.""",False,False
"Chuck Grassley was ""voting to slash Medicare"" when voting against the debt ceiling bill.",True,True
"""Martin Luther King said our lives begin to end the day we become silent on things that matter.""",True,False
"Many uninsured Americans are ""young.""",True,True
Tim Kaine broke a campaign promise not to raise taxes.,False,True
"""Judge Rules Over 200,000 Biden Votes Are Illegitimate In Wisconsin.""",False,False
"If the U.S. didn't borrow $1.2 trillion every year ""to fund government operations,"" that money would be available ""for entrepreneurs and business people to put to work creating jobs and building and expanding their businesses.""",False,False
"Says ""Cape May, Cumberland, Salem and part of Atlantic counties are all south of the Mason-Dixon line.""",False,False
"""Social Security is a Ponzi scheme.""",False,False
"Says the changes to the State Health Plan ""will DENY North Carolina state employees, retirees, and their families of in-network access to critical healthcare services.""",True,False
"John Kitzhaber created 128,000 new jobs while governor.",True,False
"""Thanks to the insane tax-and-spending spree of President Joe Biden and Democrats in Washington, we are seeing six straight months of raging inflation.""",False,False
"Says ""Harry Reid has a better voting attendance record than these three Congressmen!""",True,True
Obama wants to increase the size of government by 23 percent.,False,False
"""Most Americans favor keeping Title 42 in place.""",True,True
"Says U.S. Rep. Ann McLane Kuster used $293,000 of taxpayer money to send campaign mail.",False,True
"President Donald Trump’s budget ""threatened to cut $2 trillion from Social Security, Medicare and Medicaid""",False,True
"""In campaigns in the past with Sen. McCain and President George W. Bush and others, they have tended to release tax records in April.""",True,True
"A letter from Mississippi Gov. Tate Reeves says that at ""the beginning of October 2020 the statewide mask requirements will be abolished.""",False,False
Most voters prefer zombies to the current U.S. Congress.,True,False
